Instance, Iterations, ExecutionTime, LastImprovementIter, InitialMakespan, FinalMakespan, BestMakespan, ImprovementPercent, ImprovementPercent_Integer, ImprovementPercent_Decimal
      97,         20,             0,                   1,               0,             8,            8,                  8,  0,  0
      98,         20,             0,                   5,               0,            20,           20,                 20,  0,  0
      99,         25,             0,                   1,               5,            10,            7,                  7, 30,  0
     100,         20,             0,                   1,               0,             5,            5,                  5,  0,  0
     101,         20,             0,                   1,               0,             7,            7,                  7,  0,  0
     102,         20,             0,                   2,               0,            14,           14,                 14,  0,  0
     103,         24,             0,                   2,               4,             6,            5,                  5, 16, 67
     104,         37,             0,                  11,              17,            15,           14,                 14,  6, 67
     105,         27,             0,                   9,               7,            22,           18,                 18, 18, 18
     106,         20,             0,                   1,               0,             7,            7,                  7,  0,  0
     107,         20,             0,                   4,               0,            14,           14,                 14,  0,  0
     108,         20,             0,                   3,               0,            37,           37,                 37,  0,  0
     109,         36,             0,                   2,              16,            21,           16,                 16, 23, 81
     110,         25,             0,                   1,               5,            66,           59,                 59, 10, 61
     111,         25,             0,                   3,               5,            23,           20,                 20, 13,  4
     112,         20,             0,                   4,               0,            15,           15,                 15,  0,  0
     113,         20,             0,                   1,               0,             7,            7,                  7,  0,  0
     114,         20,             0,                   1,               0,             5,            5,                  5,  0,  0
     115,         30,             0,                   6,              10,            21,           19,                 19,  9, 52
     116,         25,             0,                   2,               5,            23,           19,                 19, 17, 39
     117,         21,             0,                   1,               1,            36,           33,                 33,  8, 33
     118,         20,             0,                   0,               0,             4,            4,                  4,  0,  0
     119,         26,             0,                   7,               6,            21,           20,                 20,  4, 76
     120,         20,             0,                   2,               0,            35,           35,                 35,  0,  0
     121,         20,             0,                   3,               0,            15,           15,                 15,  0,  0
     122,         27,             0,                  15,               7,            12,           11,                 11,  8, 33
     123,         29,             0,                   9,               9,            17,           15,                 15, 11, 76
     124,         20,             0,                   2,               0,             7,            7,                  7,  0,  0
     125,         20,             0,                   2,               0,             9,            9,                  9,  0,  0
     126,         20,             0,                   1,               0,             6,            6,                  6,  0,  0
     127,         38,             0,                   7,              18,            21,           20,                 20,  4, 76
     128,         20,             0,                   1,               0,            17,           17,                 17,  0,  0
     129,         20,             0,                   0,               0,            12,           12,                 12,  0,  0
